DIA,CAL,HC,PROTEÍNAS,GRASAS, CANT HC,CANT PROT,CANT GRASAS,HC%,PROTEINAS%,GRASAS%
17/03/2022,2538,327,105,90,1308,420,810,"51,5","16,5","31,9"
18/03/2022,2468,329,108,80,1316,432,720,"53,3","17,5","29,2"
19/03/2022,2466,338,121,70,1352,484,630,"54,8","19,6","25,5"
20/03/2022,2375,320,105,75,1280,420,675,"53,9","17,7","28,4"
21/03/2022,2567,338,117,83,1352,468,747,"52,7","18,2","29,1"
22/03/2022,2541,334,110,85,1336,440,765,"52,6","17,3","30,1"
23/03/2022,2614,336,106,94,1344,424,846,"51,4","16,2","32,4"
24/03/2022,2497,320,122,81,1280,488,729,"51,3","19,5","29,2"
25/03/2022,2368,315,115,72,1260,460,648,"53,2","19,4","27,4"
26/03/2022,2612,334,121,88,1336,484,792,"51,1","18,5","30,3"
27/03/2022,2509,325,111,85,1300,444,765,"51,8","17,7","30,5"
28/03/2022,2553,338,100,89,1352,400,801,"53,0","15,7","31,4"
29/03/2022,2441,311,108,85,1244,432,765,"51,0","17,7","31,3"
30/03/2022,2364,318,111,72,1272,444,648,"53,8","18,8","27,4"
31/03/2022,2324,290,102,84,1160,408,756,"49,9","17,6","32,5"
01/04/2022,2443,328,114,75,1312,456,675,"53,7","18,7","27,6"
02/04/2022,2458,317,104,86,1268,416,774,"51,6","16,9","31,5"
03/04/2022,2518,339,106,82,1356,424,738,"53,9","16,8","29,3"
04/04/2022,2263,311,95,71,1244,380,639,"55,0","16,8","28,2"
