DIA,CAL,HC,PROTEÍNAS,GRASAS, CANT HC,CANT PROT,CANT GRASAS,HC%,PROTEINAS%,GRASAS%
17/03/2022,2538,327,105,90,1308,420,810,"51,5","16,5","31,9"
18/03/2022,2468,329,108,80,1316,432,720,"53,3","17,5","29,2"
19/03/2022,2466,338,121,70,1352,484,630,"54,8","19,6","25,5"
20/03/2022,2375,320,105,75,1280,420,675,"53,9","17,7","28,4"
21/03/2022,2567,338,117,83,1352,468,747,"52,7","18,2","29,1"
22/03/2022,2541,334,110,85,1336,440,765,"52,6","17,3","30,1"
23/03/2022,2614,336,106,94,1344,424,846,"51,4","16,2","32,4"
24/03/2022,2497,320,122,81,1280,488,729,"51,3","19,5","29,2"
25/03/2022,2368,315,115,72,1260,460,648,"53,2","19,4","27,4"
26/03/2022,2612,334,121,88,1336,484,792,"51,1","18,5","30,3"
27/03/2022,2509,325,111,85,1300,444,765,"51,8","17,7","30,5"
28/03/2022,2553,338,100,89,1352,400,801,"53,0","15,7","31,4"
29/03/2022,2441,311,108,85,1244,432,765,"51,0","17,7","31,3"
30/03/2022,2364,318,111,72,1272,444,648,"53,8","18,8","27,4"
31/03/2022,2324,290,102,84,1160,408,756,"49,9","17,6","32,5"
01/04/2022,2443,328,114,75,1312,456,675,"53,7","18,7","27,6"
02/04/2022,2458,317,104,86,1268,416,774,"51,6","16,9","31,5"
03/04/2022,2518,339,106,82,1356,424,738,"53,9","16,8","29,3"
04/04/2022,2263,311,95,71,1244,380,639,"55,0","16,8","28,2"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
https://datawrapper.dwcdn.net/zEIeA/1/,,,,,,,,,,
"<iframe title=""DISTRIBUCION ALIMENTICIA"" aria-label=""Interactive area chart"" id=""datawrapper-chart-zEIeA"" src=""https://datawrapper.dwcdn.net/zEIeA/1/"" scrolling=""no"" frameborder=""0"" style=""width: 0; min-width: 100% !important; border: none;"" height=""400""></iframe><script type=""text/javascript"">!function(){""use strict"";window.addEventListener(""message"",(function(e){if(void 0!==e.data[""datawrapper-height""]){var t=document.querySelectorAll(""iframe"");for(var a in e.data[""datawrapper-height""])for(var r=0;r<t.length;r++){if(t[r].contentWindow===e.source)t[r].style.height=e.data[""datawrapper-height""][a]+""px""}}}))}();</script>",,,,,,,,,,
,,,,,,,,,,
https://public.tableau.com/views/parcial1_16505697062540/Hoja3?:language=es-ES&publish=yes&:display_count=n&:origin=viz_share_link,,,,,,,,,,
"<div class='tableauPlaceholder' id='viz1650569963392' style='position: relative'><noscript><a href='#'><img alt='Hoja 3 ' src='https:&#47;&#47;public.tableau.com&#47;static&#47;images&#47;pa&#47;parcial1_16505697062540&#47;Hoja3&#47;1_rss.png' style='border: none' /></a></noscript><object class='tableauViz'  style='display:none;'><param name='host_url' value='https%3A%2F%2Fpublic.tableau.com%2F' /> <param name='embed_code_version' value='3' /> <param name='site_root' value='' /><param name='name' value='parcial1_16505697062540&#47;Hoja3' /><param name='tabs' value='no' /><param name='toolbar' value='yes' /><param name='static_image' value='https:&#47;&#47;public.tableau.com&#47;static&#47;images&#47;pa&#47;parcial1_16505697062540&#47;Hoja3&#47;1.png' /> <param name='animate_transition' value='yes' /><param name='display_static_image' value='yes' /><param name='display_spinner' value='yes' /><param name='display_overlay' value='yes' /><param name='display_count' value='yes' /><param name='language' value='es-ES' /><param name='filter' value='publish=yes' /></object></div>                <script type='text/javascript'>                    var divElement = document.getElementById('viz1650569963392');                    var vizElement = divElement.getElementsByTagName('object')[0];                    vizElement.style.width='100%';vizElement.style.height=(divElement.offsetWidth*0.75)+'px';                    var scriptElement = document.createElement('script');                    scriptElement.src = 'https://public.tableau.com/javascripts/api/viz_v1.js';                    vizElement.parentNode.insertBefore(scriptElement, vizElement);                </script>",,,,,,,,,,
